Pin (W)	  mDot (kg/s)	uExhaust (m/s)	Eta		  \   Pin (W)	mDot (kg/s)	uExhaust (m/s)	Eta
39300	  7.07E-06	    94372.2	       0.8		 \  36994.1	    7.068E-06	90000	        0.774
37097.4	  7.07E-06	    90150.2703	   0.773533	\	34632.2	    6.625E-06	90000	        0.774
36540.8	  7.07E-06	    89340.5529	   0.774898	\	32980.5	    7.063E-06	85000	        0.774
35626.2	  7.07E-06	    88383.6855	   0.774898	\	31172.6	    6.662E-06	85000	        0.772
34791.3	  7.07E-06	    87279.57	   0.774898	\	19021.4	    3.990E-06	85000	        0.758
32803.2	  7.07E-06	    84776.8428	   0.773533	\	29684.3	    7.060E-06	80000	        0.761
31600	  7.07E-06	    83643.6897	   0.7743	\	27618.2	    6.620E-06	80000	        0.767
30854.9	  7.07E-06	    81832.5675	   0.768076	\	16948.6	    4.001E-06	80000	        0.755
29900.6	  7.07E-06	    80360.3808	   0.762619	\	24707.2	    6.623E-06	75000	        0.754
28707.8	  7.07E-06	    78372.9729	   0.754434	\	15011.6	    4.006E-06	75000	        0.751
27872.8	  7.07E-06	    76974.3612	   0.751705 \	0           0           0               0			
28548.7	  6.65E-06	    81317.2482	   0.768076					
27196.8	  6.65E-06	    79403.4153	   0.766712					
26441.4	  6.65E-06	    78152.1498	   0.763984					
25367.8	  6.65E-06	    76164.6438	   0.757162					
24532.8	  6.65E-06	    74692.5552	   0.75307					
23817.1	  6.65E-06	    73293.9435	   0.750341					
20795.2	  4.00E-06	    88972.5798	   0.759891					
20357.9	  4.00E-06	    87942.0393	   0.759891					
19841	  4.00E-06	    86764.2507	   0.758527					
19324.1	  4.00E-06	    85733.8083	   0.758527					
17654.1	  4.00E-06	    81685.3194	   0.755798					
17057.7	  4.00E-06	    80286.7077	   0.755798					
15825	  4.00E-06	    77047.9362	   0.751705					
14831	  4.00E-06	    74545.3071	   0.750341					
14314.1	  4.00E-06	    73146.6954	   0.747613					
13359.8	  4.00E-06	    70423.2432	   0.74352					
12842.9	  4.00E-06	    68951.0565	   0.740791					
12326	  4.00E-06	    67405.2948	   0.736698					
12087.5	  4.00E-06	    66595.5774	   0.736698					
11610.3	  4.00E-06	    65049.8157	   0.731241					
0           0           0                  0
