Pin(W)	uEx (m/s)
25.383	32618.25
21.628	31382.19
20.426	32480.91
19.99	30077.46
18.765	31392
18.358	28861.02
17.147	30793.59
17.017	27605.34
16.1	28988.55
16.08	29410.38
15.29	25800.3
15.093	29184.75
14.582	28164.51
13.814	28076.22
13.752	26437.95
13.533	23995.26
13.427	29724.3
13.3	26771.49
12.746	28861.02
12.741	27163.89
12.451	22553.19
12.308	25182.27
12.21	25780.68
11.695	27997.74
11.568	25908.21
11.325	26182.89
10.878	24083.55
10.806	25555.05
10.795	27105.03
10.577	24574.05
10.451	24574.05
10.206	24760.44
9.993	26349.66
9.905	22513.95
9.669	22298.13
9.456	23043.69
9.163	25025.31
9.094	23465.52
9.073	25250.94
8.982	20591.19
8.382	24279.75
8.366	21513.33
8.325	23985.45
8.001	21954.78
7.537	23092.74
7.182	19757.34
7.126	21091.5
6.785	20277.27
6.728	21797.82
6.666	18756.72
6.66	21984.21
6.347	19620
6.02	20542.14
5.845	20630.43
5.539	18266.22
5.497	17844.39
5.231	18540.9
5.04	19207.98
4.473	17147.88
4.444	20620.62
4.418	15548.85
4.248	17255.79
3.974	19551.33
3.519	18305.46
3.508	14656.14
3.323	12645.09
3.056	17079.21
2.606	16412.13
2.577	11752.38
2.045	14283.36
2.037	14263.74
0	0
